S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
209,SHBL,Sahara Bikas Bank Limited,1:1.50,"354,000.00",100.00,2016-09-29,2016-11-02,2016-09-07,,Global IME Capital Limited,Closed,,
210,MNBBL,Muktinath Bikas Bank Limited,2:1,"4,192,164.00",100.00,2016-10-06,2016-11-09,2016-09-15,,NIBL Capital Market Limited,Closed,,
211,MDB,Miteri Development Bank Limited,2:1,"1,056,370.00",100.00,2016-10-16,2016-11-19,2016-09-22,,Prabhu Capital Limited,Closed,,
212,GMFIL,Guheswori Merchant Banking &amp; Finance Limited,2:1,"1,468,697.00",100.00,2016-10-06,2016-11-09,2016-09-04,2017-01-23,NIBL Capital Market Limited,Closed,,
213,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,1:1,"1,100,000.00",100.00,2016-09-29,2016-11-07,2016-09-11,,NMB Capital Limited,Closed,,
214,UFL,United Finance Limited,4:1,"1,159,836.00",100.00,2016-07-13,2016-09-10,2016-07-04,,Nabil Investment Banking Limited,Closed,,
215,MMDBL,Mount Makalu Development Bank Limited,1:1.50,"390,000.00",100.00,2016-08-31,2016-10-04,2016-08-05,,NIBL Capital Markets Ltd.,Closed,,
216,PCBL,Prime Commercial Bank Limited,3:1,"12,350,874.00",100.00,2016-08-27,2016-10-01,2016-08-04,,Civil Capital Market Limited,Closed,,
217,WOMI,Womi Laghubitta Bittiya Sanstha Limited,2:1,"180,000.00",100.00,2016-08-28,2016-10-01,2016-08-05,2016-12-28,Siddhartha Capital Limited,Closed,,
218,CCBL,Century Commercial Bank Limited,10:3,"8,522,400.00",100.00,2016-08-20,2016-09-24,2016-08-02,,Civil Capital Market Limited,Closed,,
219,PURBL,Purnima Bikas Bank Limited,2:1,"1,008,544.00",100.00,2016-08-16,2016-09-19,2016-08-04,,Siddhartha Capital Limited,Closed,,
220,MEGA,Mega Bank Nepal Limited,4:1,"8,101,438.00",100.00,2016-08-10,2016-09-13,2016-07-25,2016-12-15,Global IME Capital limited,Closed,,
221,IGIL,IME General Insurance Limited,10:8,"1,200,000.00",100.00,2016-08-06,2016-09-10,2016-07-21,,Global IME Capital limited,Closed,,
222,MSBBL,Manaslu Bikas Bank Limited,2:1,"917,648.00",100.00,2016-08-06,2016-09-10,2016-07-21,,Prabhu Capital Ltd.,Closed,,
223,SINDU,Sindhu Bikas Bank Limited,1:1,"1,209,375.00",100.00,2016-08-06,2016-09-10,2016-07-22,,NIBL Capital Markets Ltd.,Closed,,
224,SLICL,Surya Life Insurance Company Limited,4:1,"125,000.00",100.00,2016-08-03,2016-09-06,2016-07-12,2017-01-31,Laxmi Capital market Limited,Closed,,
225,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,2:1,"169,740.00","16,974,000.00",2016-08-02,2016-09-05,2016-07-22,2017-01-02,Civil Capital Markets Ltd.,Closed,,
226,ALDBL,Alpine Development Bank Limited,3:2.10,"820,000.00",100.00,2016-08-02,2016-09-05,2016-07-05,,Nmb Capital Limited,Closed,,
227,CSDBL,Cosmos Development Bank Limited,1:1,"503,125.00",100.00,2016-07-25,2016-08-28,2016-07-18,,Civil Capital Markets Ltd.,Closed,,
228,CZBIL,Citizens Bank International Limited,10:5.50,"16,858,786.00",100.00,2016-06-18,2016-07-23,2016-06-06,,Global IME Capital Ltd.,Closed,,
229,SANIMA,Sanima Bank Limited,2:1,"15,301,440.00",100.00,2016-06-25,2016-07-30,2016-06-07,,Nabil Investment Banking Ltd,Closed,,
230,RHPC,Ridi Hydropower Development Company Limited,10:3.50,"1,155,000.00",100.00,2016-06-14,2016-07-18,2016-05-27,,Global IME Capital Ltd.,Closed,,
231,KRBL,Karnali Development Bank Limited,2:1,"400,000.00",100.00,2016-05-14,2016-07-13,2016-04-25,,Growmore Merchant Banker Ltd,Closed,,
232,NICA,NIC Asia Bank Limited,4:1,"9,237,540.00",100.00,2016-05-25,2016-06-28,2016-05-13,,Civil Capital Market Ltd.,Closed,,
233,NCDB,Nepal Community Development Bank Limited,1:1,"1,000,000.00",100.00,2016-05-11,2016-06-14,2016-04-29,,NIBL Capital Markets Ltd.,Closed,,
234,JHBL,Jhimruk Bikas Bank Limited,10:1,"48,500.00",100.00,2016-03-29,2016-05-02,2016-03-10,,Growmore Merchant Banker Ltd.,Closed,,
235,TNBL,Tinau Development Bank Limited,4:1,"546,193.00",100.00,2016-03-10,2016-04-13,2016-02-28,,Siddhartha Capital Ltd.,Closed,,
236,SADBL,Shangrila Development Bank Limited,4:1,"1,840,000.00",100.00,2016-02-20,2016-03-26,2016-02-04,,NMB Capital Ltd.,Closed,,
237,SFFIL,Srijana Finance Limited,2:1,"672,000.00",100.00,2016-02-07,2016-03-12,2016-01-19,2016-11-11,NCM Merchant Banking Ltd.,Closed,,
238,PRVU,Prabhu Bank Limited,10:2,"6,417,770.00",100.00,2016-02-27,2016-04-02,2015-10-01,,Nabil Investment Banking Ltd.,Closed,,
239,SUBBL,Subhechha Bikas Bank Limited,3:1,"500,852.00",100.00,2016-01-31,2016-03-05,2016-01-13,,Ace Capital Ltd.,Closed,,
240,GDBL,Gandaki Bikas Bank Limited,10:3,"1,056,000.00",100.00,2016-01-30,2016-03-05,2016-01-14,,Global IME Capital Ltd.,Closed,,
241,EDBL,Excel Development Bank Limited,4:1.037,"525,000.00",100.00,2016-01-20,2016-02-23,2016-01-11,,Ace Capital Ltd.,Closed,,
242,SRBL,Sunrise Bank Limited,100:15,"3,690,473.00",100.00,2016-01-24,2016-01-29,2016-01-10,,Civil Capital Market Ltd.,Closed,,
243,INDB,Innovative Development Bank Limited,3:2,"1,000,000.00",100.00,2016-01-21,2016-02-24,2016-01-10,,NMB Capital Ltd.,Closed,,
244,KADBL,Kanchan Development Bank Limited,4:1,"330,000.00",100.00,2015-12-23,2016-01-26,2015-12-11,,Global IME Capital Ltd.,Closed,,
245,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,2:1,"1,153,412.00",100.00,2015-12-10,2016-01-13,2015-11-24,2016-06-22,Nabil  investment Banking Ltd.,Closed,,
246,ICFC,ICFC Finance Limited,2:1,"2,134,845.00",100.00,2015-11-23,2015-12-27,2015-10-29,,Global IME Capital Ltd.,Closed,,
247,KKBL,Kankrebihar Bikas Bank Limited,1:0.5,"172,500.00",100.00,2015-11-01,2015-12-05,2015-10-14,,Growmore Merchant Banker Ltd.,Closed,,
248,KFL,Kathmandu Finance Limited.,1:1,"1,837,763.00",100.00,2015-10-31,2015-12-05,2015-05-30,,NIBL Capital Markets Ltd.,Closed,,
249,CCBL,Century Commercial Bank Limited,4:1,"5,300,000.00",100.00,2015-10-26,2015-11-29,2015-10-07,,Civil Capital Market Ltd.,Closed,,
250,GABL,Gaumukhee Bikas Bank Limited,2:0.75,"168,480.00",100.00,2015-10-10,2015-11-14,2015-09-29,,NMB Capital Ltd.,Closed,,
251,MIDBL,Mission Development Bank Limited,2:1,"575,000.00",100.00,2015-10-06,2015-11-09,2015-09-29,,Vibor capital Ltd.,Closed,,
252,MBL,Machhapuchchhre Bank Limited,5:1,"5,552,501.00",100.00,2015-10-03,2015-11-07,2015-08-17,,Nabil Investment Banking Ltd.,Closed,,
253,NBBL,Nagbeli Laghubitta Bikash Bank Limited,4:1,"50,000.00",100.00,2015-09-30,2015-10-31,2015-09-15,,NMB Capital Ltd.,Closed,,
254,LBL,Laxmi Bank Limited,10:3,"7,013,606.00",100.00,2015-06-20,2015-07-25,2015-06-03,,NMB Capital Ltd.,Closed,,
255,PROFL,Progressive Finance Limited,4:3,"900,000.00",100.00,2015-08-01,2015-09-05,2015-07-08,2016-01-22,Growmore Merchant Banker Ltd.,Closed,,
256,METRO,Metro Development Bank Limited,20:3,"278,504.00",100.00,2015-07-29,2015-08-22,2015-07-07,2016-07-06,NCM Merchant Banking Ltd.,Closed,,
257,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,2:1,"1,418,447.00",100.00,2015-07-27,2015-08-30,2015-07-15,,NMB Capital Ltd.,Closed,,
258,PICL,Prudential Insurance Company Limited,5:1,"540,000.00",100.00,2015-07-20,2015-08-23,2015-07-03,,Global IME Capital Ltd.,Closed,,
259,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,1:1,"200,000.00",100.00,2015-06-25,2015-07-29,2015-06-14,2015-10-15,NMB Capital Ltd.,Closed,,
260,KEBL,Kabeli Bikas Bank Limited,2:1,"172,000.00",100.00,2015-04-22,2015-05-26,2015-04-08,2016-04-26,Global IME Capital Ltd.,Closed,,
261,UIC,United Insurance Company (Nepal) Limited,1:1.50,"1,512,000.00",100.00,2015-04-25,2015-05-30,2015-03-29,,Global IME Capital Ltd.,Closed,,
262,PURBL,Purnima Bikas Bank Limited,4:1,"275,000.00",100.00,2015-04-18,2015-05-23,2015-04-01,,Ace Capital Ltd.,Closed,,
263,PIC,Premier Insurance Company (Nepal) Limited,1:1.15,"1,346,951.00",100.00,2015-03-29,2015-05-02,2015-03-10,2015-10-01,Laxmi Capital Market Ltd.,Closed,,
264,NGBL,Nilgiri Bikas Bank Limited,4:1,"300,000.00",100.00,2015-03-22,2015-04-25,2015-03-09,2015-06-09,Global IME Capital Ltd.,Closed,,
265,SRBL,Sunrise Bank Limited,10:1,"2,236,650.00",100.00,2015-03-05,2015-04-08,2015-02-18,,Civil Capital Market Ltd.,Closed,,
266,NIL,Neco Insurance Limited,10:8.488,"1,147,784.00",100.00,2015-02-25,2015-03-31,2015-02-15,2015-07-12,Civil Capital Market Ltd.,Closed,,
267,GBBL,Garima Bikas Bank Limited,4:1,"1,122,000.00",100.00,2015-02-26,2015-04-01,2015-02-12,2015-06-21,Ace Capital Ltd.,Closed,,
268,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,1:1,"1,000,000.00",100.00,2015-02-26,2015-04-01,2015-02-12,,Nabil Investment Banking Ltd.,Closed,,
269,MSBBL,Manaslu Bikas Bank Limited,4:1,"300,000.00",100.00,2015-01-17,2015-02-21,2015-01-02,,Growmore Merchant Banking Ltd.,Closed,,
270,SBBLJ,Sahayogi Vikas Bank Limited,10:1.5,"214,326.00",100.00,2014-01-18,2015-02-21,2014-12-24,,NCM Merchant Banking Ltd.,Closed,,
271,HAMRO,Hamro Bikas Bank Limited,10:7,"420,700.00",100.00,2014-12-16,2015-01-19,2014-11-28,,Growmore Merchant Banking Ltd.,Closed,,
272,MNBBL,Muktinath Bikas Bank Limited,4:1,"918,750.00",100.00,2014-11-30,2015-01-03,2014-11-14,,Growmore Merchant Banking Ltd.,Closed,,
273,SEWA,Sewa Bikas Bank Limited,5:1,"515,200.00",100.00,2014-11-29,2015-01-03,2014-11-13,2015-05-28,NMB Capital Ltd.,Closed,,
274,CDBL,City Development Bank Limited,10:3,"924,000.00",100.00,2014-10-21,2014-11-24,2014-10-09,,Nabil Investment Banking Ltd.,Closed,,
275,TNBL,Tinau Development Bank Limited,4:1,"322,000.00",100.00,2014-08-14,2014-09-17,2014-07-30,,Citizen Investment Trust,Closed,,
276,CIVIC,Civic Development Bank Limited,4:1,"100,000.00",100.00,2014-08-11,2014-09-14,2014-07-21,,Growmore Merchant Banking Ltd.,Closed,,
277,INDB,Innovative Development Bank Limited,4:1,"262,500.00",100.00,2014-08-12,2014-09-15,2014-07-30,,NMB Capital Ltd.,Closed,,
278,AIC,Alliance Insurance Company Limited,10:55,"892,692.00",100.00,2014-07-02,2014-08-05,2014-06-22,,NMB Capital Ltd.,Closed,,
279,SHINE,Shine Resunga Development Bank Limited,2:1,"1,919,182.00",100.00,2014-05-22,2014-06-25,2014-05-11,,Growmore Merchant Banking Ltd.,Closed,,
280,NICL,Nepal Insurance Company Limited,1:1,"1,319,016.00",100.00,2014-04-14,2014-06-17,2014-04-30,2014-10-21,Growmore Merchant Banking Ltd.,Closed,,
281,MBBL,Mahakali Bikas Bank Limited,1:2,"800,000.00",100.00,2014-05-04,2013-06-07,2014-04-04,,Ace Capital Ltd.,Closed,,
282,SMBF,Sagarmatha Merchant Banking &amp; Finance Limited,4:1,"412,500.00",100.00,2014-04-28,2014-06-01,2014-04-10,2015-01-04,Citizen Investment Trust,Closed,,
283,METRO,Metro Development Bank Limited,20:7,"371,000.00",100.00,2014-04-16,2014-05-20,2014-04-01,2014-09-16,NCM Merchant Banking Ltd.,Closed,,
284,SICL,Shikhar Insurance Company Limited,2:1,"875,000.00",100.00,2014-04-12,2014-05-17,2014-04-02,2014-08-27,NIBL Capital Mrkets Ltd.,Closed,,
285,ALICL,Asian Life Insurance Company Limited,20:1,"256,297.00",100.00,2014-04-01,2014-05-05,2014-03-11,2014-07-18,Civil Capital Market Ltd.,Closed,,
286,AHPC,Arun Valley Hydropower Development Company Limited,1:1,"3,504,930.00",100.00,2014-03-24,2014-04-27,2014-02-13,2014-06-30,Elite Capital Ltd.,Closed,,
287,BPCL,Butwal Power Company Limited,3:2,"6,768,463.00",100.00,2014-03-02,2014-04-05,2014-02-05,2014-06-30,NMB Capital Ltd.,Closed,,
288,LGIL,Lumbini General Insurance Limited,10:6.296,"965,910.00",100.00,2014-02-02,2014-03-08,2014-01-16,2014-09-26,Ace Capital Ltd.,Closed,,
289,KEBL,Kabeli Bikas Bank Limited,11:4,"80,000.00",100.00,2014-01-18,2014-02-22,2013-12-20,2014-08-27,Elite Capital Ltd.,Closed,,
290,BSBL,Bishwa Bikas Bank Limited,4:1,"630,000.00",100.00,2014-01-08,2014-02-11,2013-12-24,2014-08-12,Growmore Merchant Banker Ltd.,Closed,,
291,HGI,Himalayan General Insurance Company Limited,1:1.4801,"1,492,000.00",100.00,2014-01-12,2014-02-15,2014-01-01,2014-04-27,NMB Capital Ltd.,Closed,,
292,PICL,Prudential Insurance Company Limited,1:1,"1,250,000.00",100.00,2014-01-05,2014-02-08,2013-12-23,,NMB Capital Ltd.,Closed,,
293,KFL,Kathmandu Finance Limited.,1:0.15,"231,994.00",100.00,2013-12-22,2014-01-25,2013-12-11,2014-11-06,Growmore Merchant Banker Ltd.,Closed,,
294,NGBL,Nilgiri Bikas Bank Limited,1:0.7391,"425,000.00",100.00,2013-12-02,2014-01-05,2013-11-08,2014-03-21,Elite Capital Ltd.,Closed,,
295,SIL,Siddhartha Insurance Limited,10:9,"1,188,000.00",100.00,2013-11-30,2014-01-04,2013-11-14,2014-04-04,NMB Capital Ltd.,Closed,,
296,WDBL,Western Development Bank Limited,3:2,"400,000.00",100.00,2013-11-09,2013-12-14,2013-10-07,2014-05-02,Growmore Merchant Banker Ltd.,Closed,,
297,GLICL,Gurans Life Insurance Company Limited,10:3.04121,"1,166,000.00",100.00,2013-10-31,2013-12-04,2013-10-20,2014-03-07,NMB Capital Ltd.,Closed,,
298,GBBL,Garima Bikas Bank Limited,2:1,"1,100,000.00",100.00,2013-10-03,2013-11-06,2013-10-06,2014-03-21,Elite Capital Ltd.,Closed,,
299,TBBL,Triveni Bikas Bank Limited,10:3,"745,181.00",100.00,2013-10-01,2013-11-05,2013-09-20,2014-01-19,Ace Capital Ltd.,Closed,,
300,SLICL,Surya Life Insurance Company Limited,10:2.1565,"887,000.00",100.00,2013-09-02,2013-10-06,2013-08-20,2013-12-29,Elite Capital Ltd.,Closed,,
301,GDBL,Gandaki Bikas Bank Limited,1:0.28,"700,000.00",100.00,2013-08-10,2013-09-14,2013-07-15,,Elite Capital Ltd.,Closed,,
302,NBL,Nepal Bank Limited,1:9.5157,"36,196,176.00",100.00,2013-05-22,2013-06-25,2013-05-09,2013-10-06,Civil Capital Market Ltd. and Citizens Investment Trust,Closed,,
303,SFFIL,Srijana Finance Limited,1:2,"560,000.00",100.00,2013-04-28,2013-06-01,2014-01-19,2014-07-18,NCM Merchant Banking Ltd.,Closed,,
304,SEWA,Sewa Bikas Bank Limited,1:0.66,"920,000.00",100.00,2013-03-06,2013-04-09,2013-02-24,2013-07-14,NMB Capital Ltd.,Closed,,
305,NEFL,Nepal Express Finance Limited,100:11.8881,"170,000.00",100.00,2012-07-31,2012-09-03,2012-06-04,2013-02-12,NCM Merchant Banking Ltd.,Closed,,
306,KNBL,Kankai Bikas Bank Limited,1:1.50,"600,000.00",100.00,2012-06-21,2012-07-25,2012-06-11,2013-01-29,Growmore Merchant Banker Ltd.,Closed,,
307,BBBLN,Bageshowori Dev.elopment  Bank Limited,1:2.5,"1,485,000.00",100.00,2012-06-21,2012-07-25,2012-06-07,,NMB Capital Ltd.,Closed,,
308,NDFL,Nava Durga Finance Company Limited,5:1,"253,264.00",100.00,2012-06-12,2012-07-16,2012-07-24,2013-02-24,Growmore Merchant Banker Ltd.,Closed,,
309,NLG,NLG Insurance Company Limited,2:1,"150,000.00",100.00,2012-05-01,2012-06-05,2012-06-21,,Civil Capital Market Ltd.,Closed,,
310,TBBL,Triveni Bikas Bank Limited,2:1,"678,500.00",100.00,2012-02-23,2012-03-28,2011-12-12,2012-09-09,Ace Capital Ltd.,Closed,,
311,UFIL,Unique Finance Limited,1:1,"1,000,000.00",100.00,2011-09-25,2011-11-19,2011-09-15,,Nabil Investment Banking Ltd.,Closed,,
312,UFIL,Unique Finance Limited,1:1,"1,000,000.00",100.00,2011-09-25,2011-10-29,2011-09-15,2012-02-16,Nabil Investment Banking Ltd.,Closed,,
313,IGIL,IME General Insurance Limited,2:1,"500,000.00",100.00,2011-06-26,2011-07-30,2011-06-16,2011-09-23,Civil Capital Market Ltd,Closed,,
314,RBSL,Resunga Bikas Bank Limited,1:1,"306,000.00",100.00,2011-06-26,2011-07-30,2011-06-03,2011-09-23,Civil Capital Market Ltd,Closed,,
315,BFIL,Bhajuratna Finance &amp; Saving Company Limited,5:8,"616,000.00",100.00,2011-06-16,2011-07-20,2011-08-15,2011-12-19,NCM Merchant Banking Ltd.,Closed,,
316,PCCTL,Prabhu Cable Car &amp; Tourism Limited,1:1,"7,000,000.00",100.00,2024-12-14,2025-01-17,Coming Soon,,,Closed,,
